"gene","avg_log2FC","p_val_adj"
"STOX2",2.5820187795058,3.14602669067116e-19
"LMO3",2.58181246318386,4.09248213421963e-23
"SOBP",2.57907766762036,4.00220266136074e-20
"GRIK2",2.57477128746202,6.34214408649084e-57
"CLSTN2",2.56630920597206,6.03704738158517e-21
"GALNT13",2.56473591000717,2.71743277290888e-17
"DOK6",2.56292505681994,1.31430072298859e-13
"SYT1",2.56276428737749,2.10547773442923e-128
"GABBR2",2.54112341113913,4.96144674376453e-26
"GALNTL6",2.53860425839647,2.16968940657608e-33
"DMD",2.53407145000839,7.77197017285407e-61
"SNHG14",2.53279281595542,6.67187540109013e-154
"SH3GL2",2.53161448176581,5.53179595469496e-15
"SORBS1",2.51470415867403,1.04238827202891e-28
"JPH4",2.50701980935931,1.79424656679954e-21
"CSRNP3",2.50521685881305,1.53202906372002e-32
"NELL2",2.497698492985,3.82718797668567e-36
"ZFPM2",2.49334956725933,6.9413268967168e-21
"PRKG1",2.49074805985146,1.46519348756974e-22
"PLXNA4",2.48962002765028,1.3275244356321e-17
"NTM",2.48418503808466,1.60950377759482e-46
"GRIA3",2.48104154103132,5.24766899478184e-24
"SPTBN4",2.47855590658635,4.49738556888552e-31
"ADAM11",2.47709692669212,1.27748797829539e-18
"SCN2A",2.46793194889068,1.29407309734625e-28
"GUSBP5",2.45945116051612,8.18420148937871e-10
"SORCS1",2.45237484708534,2.48822248793999e-19
"CDH2",2.44930093960577,4.43162769392949e-26
"NRCAM",2.44920612014699,2.57149678873623e-37
"TENM3",2.4443471469898,3.90297903379006e-15
"PTPRN2",2.44147096316313,2.24188034923825e-30
"MIR124-1HG",2.43794679651975,7.93618249386891e-29
"FRY",2.43275038467464,1.00607829908557e-18
"ADGRB3",2.42847310968363,7.74900227982311e-121
"EPHA4",2.4236093265126,1.3539491402861e-15
"PTPRD",2.41553706771342,5.6233352221403e-93
"MAPK10",2.41388161254943,1.67981625777348e-58
"LINC01322",2.41240366813293,1.84997081345047e-13
"NLGN1",2.41175010613779,4.70526845484532e-73
"CELF4",2.4029148308462,3.38956669456133e-29
"NR2F1-AS1",2.3983817581253,3.90285798770417e-17
"LRRTM3",2.39331974607969,4.47267983784423e-20
"SH3BGRL2",2.37794404649072,1.84675695283073e-20
"ENSG00000271860",2.37513940910009,6.23707046061345e-12
"CACNG8",2.37431318181475,1.8476607564327e-21
"NKAIN2",2.36892460620419,1.37417035772086e-58
"DPP6",2.36517290914267,9.11765027622937e-43
"GABRA2",2.36394760546111,1.58897399846965e-13
"KCNQ2",2.35465052787743,6.33439919091011e-18
"TRPM3",2.35277110825195,2.4706638531834e-13
"GPC1",2.34920146591003,4.29385279425041e-18
"ENSG00000229618",2.33998281338536,2.65663746974166e-19
"CACNA1E",2.32693389474699,1.52842797456438e-16
"CADM2",2.32402327890574,4.41839202055696e-134
"BRSK2",2.32272571779988,1.94660188696222e-13
"KCNB1",2.3202829535117,8.84349047197197e-16
"ADAM22",2.30790970839753,3.01253500719487e-12
"ZC3H12B",2.29931524739038,3.44459961424567e-23
"PDE1A",2.29930943194154,5.56318427017913e-24
"GRIA2",2.29899844184805,1.03394951038395e-45
"RORA",2.29708169422346,2.05343662771722e-57
"FUT9",2.29605780758046,1.86044438995413e-21
"LINC00632",2.29035492879668,2.15664021916271e-48
"HSPA12A",2.28835832767882,1.1025696122881e-15
"HECW2",2.28605683382828,4.94615508027828e-17
"GABRB3",2.28259323613123,7.96942403263662e-19
"PBX1",2.27276968292062,1.30494236258518e-30
"CHL1",2.26797228780197,5.97029469011047e-20
"GABRB2",2.26781823771958,4.79992944791654e-33
"MMP17",2.25884802203223,3.08182672002167e-11
"FSTL5",2.25857144493914,9.13025427256204e-12
"NALCN",2.24491059976254,3.029068926507e-14
"PPP2R2C",2.23677684758381,7.82816808674869e-14
"GRIP1",2.23644100798544,3.29222748322965e-22
"SNAP91",2.23443976953357,7.13936351614596e-21
"UNC80",2.23407740213926,6.82113336929204e-15
"SRRM3",2.23154595244971,7.88062368209173e-21
"TRHDE",2.23151835490283,2.821214084169e-15
"SCN1A",2.22994032925005,1.50266923416273e-17
"CIT",2.22944148363019,2.67519212597194e-14
"C1orf21",2.22604761913841,5.09865235381981e-15
"GPM6A",2.22595101155532,2.17271526641454e-55
"MAGI2",2.22425332439898,2.89739687860676e-87
"NFIB",2.20864537670162,1.17866007990302e-14
"RNF144A",2.19480093873481,3.55615351470547e-12
"CHD5",2.19382600257564,1.52113225482633e-25
"ADGRB2",2.191436687037,2.52948042550194e-09
"KIAA1549L",2.18363563436665,7.01709544293883e-17
