,celltype,n_NC,n_AD,subfamily,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
149,Inhib,12254,15060,MER4-int,0.000231917,-0.028109155,0.461,0.451,0.01391502
150,Inhib,12254,15060,HUERS-P3b-int,0.000240539,-0.035769256,0.109,0.102,0.014432336
151,Inhib,12254,15060,HERVE-a-int,0.000594523,0.136354558,0.07,0.061,0.035671376
152,Inhib,12254,15060,ERVL-E-int,0.001324665,0.030940535,0.525,0.505,0.079479897
153,Inhib,12254,15060,HERVK11-int,0.001657148,0.149851686,0.173,0.157,0.099428865
154,Inhib,12254,15060,LTR46-int,0.005733978,-0.112477236,0.057,0.055,0.344038661
155,Inhib,12254,15060,MER61-int,0.037687292,0.072124235,0.251,0.241,1
156,Inhib,12254,15060,HERV4-I-int,0.538681276,0.068744325,0.177,0.176,1
157,Inhib,12254,15060,HERVFH21-int,0.637958115,0.06604334,0.072,0.07,1
158,Endo,732,1884,ERV3-16A3-I-int,0.130270233,-0.007644158,0.167,0.138,1
159,Endo,732,1884,HERVL40-int,0.155541642,-0.007722991,0.094,0.074,1
160,Endo,732,1884,HERVK9-int,0.206635294,-0.066534901,0.17,0.146,1
161,Endo,732,1884,MER41-int,0.21726168,-0.346546491,0.191,0.202,1
162,Endo,732,1884,Harlequin-int,0.225379089,0.256514274,0.282,0.249,1
163,Endo,732,1884,HERVK-int,0.24611228,0.538968019,0.115,0.093,1
164,Endo,732,1884,HERVH-int,0.251540443,-0.232218491,0.2,0.217,1
165,Endo,732,1884,MER61-int,0.30874773,0.118298787,0.099,0.081,1
166,Endo,732,1884,MER4B-int,0.322263976,-0.15731999,0.172,0.169,1
167,Endo,732,1884,HERV4-I-int,0.327726069,0.337494265,0.123,0.102,1
168,Endo,732,1884,MER4-int,0.331441616,-0.087081176,0.295,0.288,1
169,Endo,732,1884,HERVIP10F-int,0.349406387,-0.73678417,0.064,0.072,1
170,Endo,732,1884,ERVL-B4-int,0.382589683,0.339509908,0.181,0.158,1
171,Endo,732,1884,HERVIP10FH-int,0.408681887,-0.43010866,0.091,0.102,1
172,Endo,732,1884,HERVK11-int,0.458019436,-0.214673154,0.054,0.045,1
173,Endo,732,1884,PRIMA4-int,0.513286463,0.640226634,0.05,0.04,1
174,Endo,732,1884,HERVK22-int,0.527357633,0.034779666,0.072,0.06,1
175,Endo,732,1884,HERVK3-int,0.560755361,0.020220042,0.071,0.06,1
176,Endo,732,1884,HERVL-int,0.571536545,-0.038425021,0.158,0.148,1
177,Endo,732,1884,HERVK13-int,0.691881327,-0.348535401,0.071,0.075,1
178,Endo,732,1884,MER101-int,0.736283895,-0.247931884,0.081,0.079,1
179,Endo,732,1884,ERVL-E-int,0.802094452,-0.008132025,0.226,0.223,1
180,Endo,732,1884,HERV17-int,0.805673881,-0.296148715,0.093,0.098,1
181,Endo,732,1884,LTR25-int,0.844802518,-0.443572525,0.054,0.055,1
182,Endo,732,1884,HUERS-P1-int,0.90765005,-0.081027276,0.061,0.064,1
183,Endo,732,1884,HERV3-int,0.981965502,0.121842505,0.067,0.066,1
184,Mic,4346,6060,ERVL-B4-int,4.24E-14,0.18522434,0.255,0.199,2.54E-12
185,Mic,4346,6060,HERV9-int,8.52E-12,-0.553107566,0.133,0.177,5.11E-10
186,Mic,4346,6060,HERVH-int,8.43E-11,-0.068459083,0.364,0.334,5.06E-09
187,Mic,4346,6060,ERVL-E-int,8.74E-08,0.04298268,0.27,0.236,5.25E-06
188,Mic,4346,6060,HERVL-int,1.81E-07,-0.063276035,0.187,0.165,1.09E-05
189,Mic,4346,6060,MER4B-int,1.96E-07,-0.041778839,0.231,0.203,1.18E-05
190,Mic,4346,6060,LTR25-int,2.93E-07,0.147221493,0.137,0.108,1.76E-05
191,Mic,4346,6060,HERVK9-int,7.99E-07,0.017433196,0.217,0.191,4.79E-05
192,Mic,4346,6060,HERVIP10FH-int,1.84E-06,0.142746589,0.172,0.142,0.000110376
193,Mic,4346,6060,MER34B-int,2.02E-06,-0.028510179,0.328,0.304,0.000121478
194,Mic,4346,6060,MER41-int,3.38E-06,-2.75E-05,0.205,0.183,0.000202765
195,Mic,4346,6060,MER101-int,2.06E-05,-0.167309643,0.099,0.092,0.001233333
196,Mic,4346,6060,MER4-int,2.53E-05,-0.011299749,0.327,0.308,0.00151972
197,Mic,4346,6060,HERV17-int,4.53E-05,-0.084258305,0.13,0.117,0.002718488
198,Mic,4346,6060,HERVL40-int,9.29E-05,0.038999257,0.128,0.108,0.00557221
199,Mic,4346,6060,MER61-int,9.91E-05,-0.399340761,0.087,0.107,0.005945272
200,Mic,4346,6060,ERV3-16A3-I-int,0.000104151,-0.061458486,0.308,0.3,0.006249072
201,Mic,4346,6060,Harlequin-int,0.000762874,0.171665942,0.454,0.416,0.045772439
202,Mic,4346,6060,HERVE-a-int,0.000773318,0.484470898,0.056,0.04,0.04639908
203,Mic,4346,6060,HUERS-P3b-int,0.000776539,0.109179343,0.072,0.058,0.046592349
204,Mic,4346,6060,HERVIP10F-int,0.001754775,0.167108979,0.105,0.089,0.105286497
205,Mic,4346,6060,PRIMA41-int,0.002352174,0.146860963,0.055,0.043,0.14113046
206,Mic,4346,6060,HERVK3-int,0.005920501,-0.09287898,0.073,0.065,0.355230055
207,Mic,4346,6060,HERVK13-int,0.006937638,-0.117740175,0.07,0.065,0.416258251
208,Mic,4346,6060,HERV3-int,0.012295382,-0.196772574,0.084,0.08,0.737722911
209,Mic,4346,6060,HERVK22-int,0.012874988,-0.110795979,0.072,0.066,0.772499282
210,Mic,4346,6060,HERVS71-int,0.065408611,-0.143751976,0.101,0.101,1
211,Mic,4346,6060,HERVK-int,0.080621289,-0.072109626,0.139,0.137,1
212,Mic,4346,6060,HERV4-I-int,0.407307579,-0.045740536,0.104,0.105,1
213,OPC,5911,6954,HERV3-int,7.26E-09,0.587380881,0.162,0.13,4.35E-07
214,OPC,5911,6954,HERVK14-int,3.68E-05,-0.549274302,0.056,0.072,0.002210556
215,OPC,5911,6954,HERV17-int,5.97E-05,-0.31647819,0.16,0.185,0.003581524
216,OPC,5911,6954,MER41-int,0.00012925,-0.151983454,0.349,0.377,0.007754971
217,OPC,5911,6954,HERVE-int,0.004913971,-0.013700671,0.189,0.212,0.294838236
218,OPC,5911,6954,MER4-int,0.005083136,-0.051420558,0.417,0.445,0.304988133
219,OPC,5911,6954,MER101-int,0.013606046,-0.135187271,0.189,0.209,0.816362781
220,OPC,5911,6954,MER4B-int,0.01535217,-0.133148653,0.268,0.288,0.921130178
221,OPC,5911,6954,Harlequin-int,0.020598035,0.10167542,0.472,0.464,1
222,OPC,5911,6954,LTR25-int,0.025466349,-0.101492596,0.216,0.236,1
223,OPC,5911,6954,HERVK22-int,0.036390473,-0.146780716,0.139,0.139,1
224,OPC,5911,6954,HERVS71-int,0.050468538,-0.07198939,0.146,0.161,1
225,OPC,5911,6954,HERVK11-int,0.058700622,0.083494063,0.202,0.187,1
226,OPC,5911,6954,LTR46-int,0.070448635,-0.221614886,0.048,0.057,1
227,OPC,5911,6954,HERVH-int,0.085697916,0.082625307,0.378,0.394,1
228,OPC,5911,6954,HUERS-P1-int,0.106777089,-0.022146589,0.097,0.094,1
229,OPC,5911,6954,PABL-A-int,0.107238373,-0.038835519,0.05,0.046,1
230,OPC,5911,6954,PRIMA41-int,0.113028083,-0.107426794,0.069,0.067,1
231,OPC,5911,6954,MER61-int,0.113825612,0.069850973,0.258,0.271,1
232,OPC,5911,6954,HERVL-int,0.129833695,-0.075944323,0.284,0.296,1
233,OPC,5911,6954,ERVL-E-int,0.139015304,-0.010209119,0.488,0.504,1
234,OPC,5911,6954,HERV4-I-int,0.159890223,-0.027160691,0.181,0.194,1
235,OPC,5911,6954,ERV3-16A3-I-int,0.160329112,0.135751155,0.324,0.323,1
236,OPC,5911,6954,HERVK3-int,0.161225882,-0.070380209,0.148,0.158,1
237,OPC,5911,6954,HERVP71A-int,0.173088145,-0.092596509,0.085,0.08,1
238,OPC,5911,6954,HERVK13-int,0.268898943,-0.019161824,0.089,0.097,1
239,OPC,5911,6954,HERV9-int,0.275579918,0.146537185,0.051,0.055,1
240,OPC,5911,6954,HERVE-a-int,0.319642449,0.099709717,0.07,0.064,1
241,OPC,5911,6954,HERVL40-int,0.385966739,-0.052101285,0.244,0.252,1
242,OPC,5911,6954,ERVL-int,0.44708534,0.165914395,0.058,0.052,1
243,OPC,5911,6954,HERVIP10FH-int,0.464148083,4.74E-05,0.201,0.199,1
244,OPC,5911,6954,HERVIP10F-int,0.605273917,0.025689617,0.144,0.148,1
245,OPC,5911,6954,PRIMA4-int,0.657156023,-0.006434998,0.08,0.077,1
246,OPC,5911,6954,ERVL-B4-int,0.697288743,0.010751365,0.352,0.359,1
247,OPC,5911,6954,HERVK9-int,0.723962014,0.003170817,0.311,0.318,1
248,OPC,5911,6954,HUERS-P3-int,0.769513811,0.012324081,0.114,0.113,1
249,OPC,5911,6954,HUERS-P3b-int,0.777922792,0.205718745,0.103,0.1,1
250,OPC,5911,6954,HERVK-int,0.950401813,0.066630225,0.256,0.254,1
251,All,90772,116237,HERV3-int,7.01E-130,0.583317194,0.145,0.113,4.21E-128
252,All,90772,116237,Harlequin-int,1.40E-59,0.12971619,0.491,0.485,8.43E-58
253,All,90772,116237,MER41-int,1.23E-39,-0.117707986,0.346,0.374,7.36E-38
254,All,90772,116237,MER61-int,1.09E-32,-0.071515725,0.272,0.296,6.53E-31
255,All,90772,116237,HERVH-int,5.17E-31,-0.036256884,0.39,0.416,3.10E-29
256,All,90772,116237,MER4-int,2.45E-24,-0.051292044,0.425,0.448,1.47E-22
257,All,90772,116237,HERVK14-int,1.28E-19,-0.147551126,0.082,0.094,7.71E-18
258,All,90772,116237,MER101-int,9.76E-19,-0.166437377,0.154,0.165,5.86E-17
259,All,90772,116237,ERVL-E-int,3.17E-17,-0.03729458,0.462,0.48,1.90E-15
260,All,90772,116237,HERVL74-int,5.01E-17,-0.192331574,0.056,0.065,3.00E-15
261,All,90772,116237,HERV17-int,1.25E-15,-0.142675944,0.169,0.18,7.50E-14
