"celltype","n_NC","n_AD","feature","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Mic",4346,6060,"HERV4-1q22b",0.285309765238865,0.0304780745956903,0.055,0.051,1
"Mic",4346,6060,"HML2-3q12.3",0.370556859846517,-0.0275678181319876,0.071,0.068,1
"Mic",4346,6060,"HERVS71-4p16.1b",0.496496013711123,-0.180616689992279,0.051,0.052,1
"OPC",5911,6954,"HML3-1q32.1b",1.7426134337715e-10,-0.925593460884131,0.029,0.051,4.49594265913048e-08
"OPC",5911,6954,"HERVE-2q37.1",1.41481864773384e-06,-0.165288081559078,0.122,0.154,0.000365023211115332
"OPC",5911,6954,"HERVK11-2p12",3.76091145468537e-06,0.36311014291291,0.131,0.103,0.000970315155308825
"OPC",5911,6954,"HARLEQUIN-17q21.31",5.32772220682255e-05,0.195520029798979,0.112,0.09,0.0137455232936022
"OPC",5911,6954,"HML3-1p32.3",0.0170625316286722,0.0129605095114438,0.067,0.058,1
"OPC",5911,6954,"ERVLE-19q13.31c",0.0225868622929309,0.283773715968223,0.05,0.041,1
"OPC",5911,6954,"HARLEQUIN-6p21.31",0.0425272168751001,0.0628332976243464,0.05,0.042,1
"OPC",5911,6954,"HML5-2p13.2",0.0430099978395318,-0.194206768700036,0.062,0.06,1
"OPC",5911,6954,"PRIMA41-19p12d",0.0457644161395119,-0.21697159637235,0.051,0.048,1
"OPC",5911,6954,"MER41-16q21",0.0752703248388975,-0.0406749479912256,0.062,0.072,1
"OPC",5911,6954,"HERVIP10FH-Yq11.222b",0.0978656301368655,-0.24569622792583,0.044,0.052,1
"OPC",5911,6954,"MER4-22q12.3",0.102469676066805,-0.165242400921181,0.065,0.072,1
"OPC",5911,6954,"HARLEQUIN-Xq23b",0.129246907566404,-0.0797075631357506,0.204,0.206,1
"OPC",5911,6954,"ERVLE-3q13.33c",0.137212151371979,0.0900002927346568,0.063,0.057,1
"OPC",5911,6954,"MER41-6q22.31b",0.164260422615829,-0.138746827826183,0.066,0.065,1
"OPC",5911,6954,"HARLEQUIN-7q33b",0.185794734799973,-0.118850376044752,0.083,0.08,1
"OPC",5911,6954,"MER4B-7p14.3",0.238347447628192,-0.1644013523017,0.056,0.062,1
"OPC",5911,6954,"HML2-3q12.3",0.270330147688341,0.0563195945265256,0.189,0.182,1
"OPC",5911,6954,"HARLEQUIN-19p13.11",0.368260563104551,0.016032717391588,0.072,0.069,1
"OPC",5911,6954,"ERVLB4-6q23.2c",0.391099974526234,0.224838111261822,0.055,0.049,1
"OPC",5911,6954,"ERVLB4-10q26.2b",0.395477254436809,-0.0310236590463937,0.066,0.064,1
"OPC",5911,6954,"HERV4-1q22b",0.565884018501652,0.0883772765111537,0.087,0.092,1
"OPC",5911,6954,"HML4-16p13.3",0.569987636164832,0.027228674115042,0.073,0.078,1
"OPC",5911,6954,"LTR25-Xq22.2b",0.80764999066442,0.046035344850345,0.055,0.053,1
"All",90772,116237,"HML3-1q32.1b",5.04173730928747e-168,-0.92765196118561,0.036,0.061,1.30076822579617e-165
"All",90772,116237,"HML4-16p13.3",6.88065056194309e-20,-0.222325265368837,0.092,0.101,1.77520784498132e-17
"All",90772,116237,"HARLEQUIN-6p21.31",6.52564036077962e-19,0.24127537857053,0.066,0.056,1.68361521308114e-16
"All",90772,116237,"HML5-2p13.2",1.86737791067349e-17,0.0580456116542036,0.066,0.059,4.81783500953761e-15
"All",90772,116237,"HARLEQUIN-Xq23b",3.08874538334045e-16,-0.0812798930013794,0.182,0.196,7.96896308901837e-14
"All",90772,116237,"MER61-21q21.1a",6.09506351768889e-15,-0.235936578495556,0.05,0.057,1.57252638756373e-12
"All",90772,116237,"HARLEQUIN-1p36.33",4.3692486154964e-14,0.227971141271162,0.062,0.062,1.12726614279807e-11
"All",90772,116237,"ERVLE-3q13.33c",1.17471088599185e-13,-0.147278078341131,0.077,0.086,3.03075408585898e-11
"All",90772,116237,"MER61-8p11.21",4.70560256901713e-13,0.241760711253168,0.058,0.058,1.21404546280642e-10
"All",90772,116237,"HERV4-1q22b",1.66938913701105e-10,0.16776188071125,0.092,0.094,4.30702397348852e-08
"All",90772,116237,"HERVIP10F-2q21.2",1.72855409089899e-10,-0.212747734189237,0.054,0.059,4.45966955451938e-08
"All",90772,116237,"HML2-3q12.3",1.83748256398195e-09,-0.0725444366862715,0.162,0.169,4.74070501507344e-07
"All",90772,116237,"HARLEQUIN-19p13.11",4.30748679165445e-09,0.213816110208264,0.068,0.061,1.11133159224685e-06
"All",90772,116237,"PRIMA41-19p12d",9.45489404352683e-09,0.136293778534933,0.05,0.044,2.43936266322992e-06
"All",90772,116237,"HERVIP10F-3q29",3.15564202314162e-08,-0.13009724135912,0.049,0.052,8.14155641970538e-06
"All",90772,116237,"HML6-19q13.43b",1.71682202639206e-06,-0.0850892156033374,0.048,0.054,0.000442940082809151
"All",90772,116237,"MER4-4p16.3a",0.0149898469170673,-0.0439932610994545,0.052,0.055,1
"All",90772,116237,"PRIMA4-10p12.1",0.018686971124791,-0.0401954751302305,0.076,0.079,1
"All",90772,116237,"MER4B-7p14.3",0.0770432624321113,0.00644211177028842,0.084,0.083,1
"All",90772,116237,"HARLEQUIN-17q21.31",0.304330559715367,0.0278527648976397,0.103,0.102,1
"All",90772,116237,"HERVK11-2p12",0.606092877669575,0.0122855644246931,0.064,0.065,1
