"gene","avg_log2FC","p_val_adj"
"ARPC5L",1.72284381388449,0
"SHISA4",1.72148211479197,0
"DACT3",1.71870785899262,1.48685306648141e-301
"UBE2Q1",1.71805672523477,0
"PGD",1.71386157457454,0
"SNHG29",1.71222700760666,0
"KCNA2",1.71201099342477,0
"CLIP3",1.7119076639054,0
"KCTD2",1.71144278026788,0
"CHPF",1.70932954686303,3.62473022408945e-242
"STUB1",1.70747848944049,0
"ARLN",1.70619111926219,0
"TMEM219",1.70582185341811,2.15330192303471e-308
"PSMB5",1.70558890094018,0
"RPS14",1.70552717800143,0
"LSM4",1.70550140356116,3.52644295375648e-318
"RAB6B",1.70538667863803,0
"GSTM3",1.70477238885338,4.46181946142872e-295
"DUSP3",1.70444943399827,0
"CHGA",1.70403567898302,0
"INAFM1",1.70392009055889,2.43423097657138e-236
"SYT4",1.70155095369827,0
"CCT6A",1.69987117371614,0
"SLC25A22",1.69808411107757,0
"NACAD",1.69513919859056,1.44326014486747e-227
"PPP2CB",1.69389275704334,0
"MSMO1",1.6934069692669,0
"POLDIP2",1.69269138159219,0
"LRRC8A",1.69239380319966,0
"UBE2N",1.69062013091531,0
"EXOSC6",1.68989670305058,0
"TOLLIP",1.68983939211069,0
"PSME3",1.6890313390061,1.50847646790354e-274
"RAB1B",1.6857335206497,0
"CNIH2",1.68352768871855,0
"EHD3",1.68317701473612,0
"ATP6V1D",1.6821322089466,0
"TALDO1",1.68101702587493,0
"PPP1R11",1.6788577804845,2.2149221371775e-250
"TSPYL1",1.67860983914357,0
"GMFB",1.67639847987826,0
"PEF1",1.67627642985982,0
"ERH",1.67626209592214,0
"ADCYAP1R1",1.67414852449215,0
"PPP1CC",1.67223095780191,0
"WFS1",1.67037554578866,1.32031436903804e-249
"CADM4",1.66964931389021,0
"BRI3BP",1.66961094459566,0
"LYSMD2",1.66795960671608,0
"MED29",1.66777509131733,6.26820415241944e-234
"HSPD1",1.66754794821359,0
"MRPS34",1.66746561238811,1.59754566319188e-247
"AASDHPPT",1.66725617214706,0
"GRINA",1.66459436251146,0
"EFHD2",1.66448066766549,0
"OAZ2",1.66075840237442,0
"PRKAG2-AS1",1.65924510371341,9.5356000559247e-302
"PPA1",1.65871890156489,0
"NDUFA12",1.65846386446114,7.83836708227835e-265
"CDV3",1.65827952313929,2.43844963660775e-273
"INSIG1",1.65609792883594,6.14388464051121e-258
"HSPBP1",1.65479949143409,0
"ALDH5A1",1.65426246679736,0
"VDAC2",1.65330230529685,1.41057718150259e-318
"DDA1",1.65325544594888,0
"SEPTIN4",1.65263127463573,0
"TBCB",1.65220315656187,0
"YPEL3",1.651895854646,0
"HSPA1A",1.6510945623173,0
"ATF4",1.64959143891645,1.43535234455414e-292
"HAX1",1.64925551974454,1.76360318153682e-237
"CLTC",1.64870830443654,0
"DPM3",1.64756582250814,7.7508258057538e-269
"SYNM",1.6474450321961,0
"SLC12A5",1.64693851034205,0
"PPP2R1A",1.64551103551215,0
"PLCXD2",1.64488557354954,0
"GNAZ",1.64424441470544,0
"L1CAM",1.64183997880399,0
"TSPYL4",1.64175545834823,0
"NDUFS3",1.63946670130306,0
"MAGED2",1.63908125364736,6.1407294708238e-271
"SNRPD2",1.63785107075757,4.10295429863816e-297
"MSL3",1.63772571956172,1.57649632247683e-315
"LINC01963",1.63771205883556,4.095783049368e-283
"AAMP",1.63761132721064,4.47555640526964e-264
"BCL7B",1.63540533241734,1.76322147687824e-319
"TMED9",1.63526511708271,3.06189795496028e-268
"APEX1",1.63301921206151,3.10456841182608e-252
"AP1S1",1.63295721302463,0
"CTXN1",1.63284704969664,0
"ALDH2",1.63259494063061,6.65287440471902e-271
"DBNDD1",1.63254881892884,1.09635958609056e-287
"ZNF428",1.63241122958125,0
"SUB1",1.63144701429381,0
"DNAJC8",1.63069009976143,0
"TMEM14A",1.63047121730109,0
"DYNC1H1",1.62999257977667,0
"ZNHIT1",1.62994991551736,3.70839303660765e-295
"KCNAB2",1.62589155744745,0
"DAZAP2",1.62520849736174,0
"HSPB1",1.62484583616418,0
"MRPL35",1.62446370310128,6.04637228100895e-282
"TAF7",1.62374076416177,0
"BHLHE41",1.62369952826788,1.05793288612694e-318
"AMIGO1",1.62320829052514,0
"SUMO3",1.6217492411373,0
"MARCKS",1.61863588281523,0
"C1orf216",1.61827417987604,0
"SRM",1.61796243819958,0
"HSDL1",1.61697924836177,0
"SCAF1",1.61680833589444,0
"IDH3A",1.61203437773875,0
"COPE",1.61175576489711,0
"FAM217B",1.61153659041338,0
"ENSG00000279453",1.60880557012809,0
"ENPP4",1.60809716506964,0
"NUDT3",1.60710753026436,0
"ENSG00000260927",1.60678660711672,1.45523863172591e-271
"TMEM30A",1.6066620910526,0
"NDUFAF4",1.60663287904707,4.56269168053323e-265
"PPP1R1B",1.6066233714795,0
"LINC00641",1.60545117769262,0
"KIAA1191",1.60415139234905,0
"PFN1",1.60306208700951,2.10971987491797e-232
"LRPAP1",1.60183073605117,0
"PPT1",1.60177780321863,0
"AP3M2",1.6008081260484,0
"SLC22A17",1.60032105078925,0
"NDUFS6",1.60027097645685,2.45146188688026e-211
"FAM89B",1.59998008315906,0
"GUK1",1.59944170665387,0
"C6orf136",1.59823259011401,0
"STOML1",1.59653145692316,0
"PSMB2",1.59633718510505,0
"PFDN2",1.59554107763487,0
"ARHGDIA",1.59371910509297,0
"MAT2B",1.5929440295186,0
"SLC41A3",1.59263080631727,0
"CLSTN1",1.59122389424201,0
"SIVA1",1.59027720056975,1.53302940733757e-254
"FEZ1",1.58864193252998,0
"LDOC1",1.5875417298985,0
"NRSN2",1.5866481459577,0
"TMEM151A",1.58656226624167,0
"SSNA1",1.58460062354812,1.28200236612004e-312
"SVIP",1.58367157087901,0
"MANBAL",1.58356743396284,3.62145594659722e-227
"APMAP",1.58284387123642,0
"LRRC47",1.58274633895509,4.17048195375722e-293
"MORF4L1",1.5809511901882,0
"RPL23",1.58024500382154,0
"GOT2",1.57871293070523,0
"STX1B",1.57703041344256,0
"UBL4A",1.57671081225828,8.19457002925755e-232
"HNRNPH2",1.57401029397872,0
"ATP6V1A",1.57376426324502,0
"CMAS",1.57268193384179,0
"CALY",1.57181645026065,0
"MPP1",1.57160119672434,0
"PA2G4",1.57094302502755,4.93894700530779e-259
"CAPN1",1.57087788198144,0
"NUCB1",1.57030308196437,0
"BRD3OS",1.56893799668525,1.52276847375524e-308
"UBFD1",1.56872319841095,0
"THRA",1.56768551064804,0
"NRGN",1.56721200480607,0
"NUTF2",1.56678920020221,4.31331946956975e-285
"SEPTIN3",1.56659074048589,0
"HEXIM1",1.56481390377289,0
"FXR2",1.56448514005565,0
"PI4K2A",1.56439999946521,2.70864001425136e-250
"ITM2B",1.5643459664778,0
"CYC1",1.56393142057748,1.09077474311809e-286
"ATP5MC2",1.56374751408332,0
"SYP",1.56158257996516,0
"ANP32E",1.55723008898961,2.44311162042856e-231
"XRCC6",1.55653272871248,0
"NDUFB4",1.55652367168891,0
"MAP7D1",1.55562716406025,0
"GDI1",1.55130247697434,0
"SSU72",1.55041500728857,0
"NSG2",1.54932030490853,0
"FNDC10",1.54910848002456,1.53098195365641e-289
"VCP",1.54880591156651,0
"PREPL",1.54778140344702,0
"FBXL15",1.54610938107466,0
"PUF60",1.54590503658836,3.49609474570858e-252
"UBE2M",1.54518912858602,0
"VCPIP1",1.54383287120673,0
"NRN1",1.54381587256202,0
"GPRIN1",1.54357956503363,0
"COQ10B",1.5418897638053,1.73117150990144e-261
"CELSR2",1.53967018355955,0
"LAMTOR3",1.53931575790298,0
"NUDC",1.53900486193663,0
"CEBPG",1.53729464286747,2.13009214841793e-312
"TMEM9B",1.53729328398205,1.76338749701631e-286
"TUFM",1.53693786400606,0
"VAT1L",1.53691861004825,0
"NYAP1",1.53672995057716,0
"COPG2IT1",1.53578671775834,0
"CLPTM1",1.53513862510286,0
"FLOT1",1.53270234656178,0
"CCNI",1.53260969178105,0
"MXRA7",1.53238544071405,0
"CDIP1",1.53232962981098,0
"UBA1",1.53071232144371,0
"CBX7",1.5306427928424,0
"PJA2",1.53043098579098,0
"SLC1A2",1.52859476633697,0
"WBP11",1.52714674064427,0
"NENF",1.526494179845,0
"NAA20",1.52603334572223,0
"ARPP19",1.52434764279811,0
"VMA21",1.52262156134579,0
"STMN4",1.522140825236,0
"DOHH",1.52213097509897,6.98745198953926e-206
"BLOC1S2",1.52192657899614,0
"PSMB4",1.52189191337017,0
"UBE2V2",1.52187553535207,0
"HINT3",1.52128403875461,0
"KIF1A",1.52097953374282,0
"RPL27",1.52054847313284,0
"IDH3G",1.52025073742533,0
"ARL8B",1.51919648292235,0
"ID2",1.51893862724915,0
"EGR3",1.51849058409024,6.05836777266293e-290
"MGST3",1.51737294269892,0
"RTN4",1.51721293943841,0
"MLF2",1.5170062068804,0
"GTF2H5",1.51595315524995,4.73638833416454e-260
"CHP1",1.51486131482277,1.76322147687824e-319
"ENC1",1.51393665954662,0
"HSPA9",1.51340411077326,0
"EPN1",1.51288666823507,0
"TCEAL1",1.51179344963405,0
"PHAX",1.51091159780343,2.11698395667406e-294
"IER5",1.51043121698301,4.01221872858011e-259
"SRSF8",1.51040726953854,0
"RAB11B",1.50978106536414,0
"CUEDC2",1.50938016526318,8.48127251791249e-209
"ATXN7L3",1.50874197707286,0
"JUN",1.50740474160064,0
"ANKRD9",1.50728495971061,1.44358115681541e-216
"RAB22A",1.50694863014356,0
"SGTB",1.50655915270742,0
"BTBD6",1.50637564061409,2.34396314022927e-244
"LANCL1",1.50586275070484,0
"NAT8L",1.50535949001172,0
"FAIM2",1.50511162713574,0
"PIP4P1",1.50504859826133,5.61175888317447e-230
"INPP5K",1.50452677836592,4.77545962338181e-230
"MAF1",1.50365493500967,0
"DIRAS2",1.50338446709492,0
"CACNB1",1.5011979710286,0
"PRKAR1B",1.50026934899325,0
"CDK5R1",1.50020092701817,0
"MYL6B",1.49972448956789,0
"IDH3B",1.49965997633243,3.37337156264746e-238
"EDF1",1.49902497956293,0
"ATP6V0B",1.49890685758684,0
"ERLEC1",1.49747915853768,0
"ZFAND5",1.49718982784461,0
"PSMD12",1.49677011847263,0
"ANKRD40",1.49658735991525,0
"PHF24",1.49585313805438,0
"PHB2",1.49467191803203,3.66223842768594e-309
"UQCC2",1.49412058751287,1.62271713687856e-249
"MAEA",1.49407466696893,0
"CCDC106",1.49403171090973,1.02300277211662e-236
"RACK1",1.49341445120966,0
"SARS1",1.49317662260698,0
"H1-0",1.492045260092,0
"ZMAT3",1.49201141196465,0
"ACP1",1.49196233966263,1.02082693592201e-269
"MRPS26",1.48844694102323,0
"PFDN1",1.48841873464421,0
"ACTR6",1.48827451224044,0
"FGD5-AS1",1.48735681958666,0
"HSP90B1",1.48637806912054,0
"PMEPA1",1.48616571370827,7.51745074333719e-288
"MRPL18",1.4861092185306,4.85590718433337e-236
"CLTB",1.48608852880636,0
"PCBP1",1.48597237150615,0
"PDPK1",1.48578276585946,0
"SGCB",1.48529506749175,0
"SNX3",1.48508290911012,0
"MRPS21",1.48507499322776,0
"PCYT2",1.48463016900684,3.70276510144431e-318
"ZNF770",1.4843710555708,0
